National Mortality Rate by Cause Listed by State and Reporting Date Report    Sorted by State
Report Generated: 12/14/2021     16:53:38
                               WEEK          TOTAL         NATURAL      C19 MULTIPLE    C19 UNDERLYING
STATE                          ENDING        DEATHS        CAUSES          CAUSES           CAUSE
-----------------------------------------------------------------------------------------------------------
Alabama                        01/04/20      1082           1009              0               0
Alabama                        01/11/20      1127           1060              0               0
Alabama                        01/18/20      1039            976              0               0
Alabama                        01/25/20      1056            982              0               0
Alabama                        02/01/20      1026            949              0               0
Alabama                        02/08/20      1120           1028              0               0
Alabama                        02/15/20      1095           1020              0               0
Alabama                        02/22/20      1098           1018              0               0
Alabama                        02/29/20      1164           1093              0               0
Alabama                        03/07/20      1057            953              0               0
Alabama                        03/14/20      1091           1013              0               0
Alabama                        03/21/20      1059            986              0               0
Alabama                        03/28/20      1073            989             23              20
Alabama                        04/04/20      1156           1077             49              45
Alabama                        04/11/20      1135           1056             81              77
Alabama                        04/18/20      1149           1053             89              85
Alabama                        04/25/20      1139           1037             85              78
Alabama                        05/02/20      1147           1048             81              75
Alabama                        05/09/20      1171           1084            116             105
Alabama                        05/16/20      1148           1049             96              89
Alabama                        05/23/20      1153           1055             82              78
Alabama                        05/30/20      1109            999            103              99
Alabama                        06/06/20      1173           1071             91              86
Alabama                        06/13/20      1138           1031             81              75
Alabama                        06/20/20      1090           1007             88              81
Alabama                        06/27/20      1151           1064            103              95
Alabama                        07/04/20      1201           1112            125             119
Alabama                        07/11/20      1265           1177            135             122
Alabama                        07/18/20      1289           1201            192             172
Alabama                        07/25/20      1333           1257            251             241
Alabama                        08/01/20      1364           1269            263             238
Alabama                        08/08/20      1379           1288            264             253
Alabama                        08/15/20      1305           1207            230             214
Alabama                        08/22/20      1303           1219            209             197
Alabama                        08/29/20      1216           1129            185             175
Alabama                        09/05/20      1216           1132            156             142
Alabama                        09/12/20      1232           1148            138             130
Alabama                        09/19/20      1200           1132            139             134
Alabama                        09/26/20      1183           1109            105             100
Alabama                        10/03/20      1103           1010            111              99
Alabama                        10/10/20      1204           1120            137             127
Alabama                        10/17/20      1190           1114            126             112
Alabama                        10/24/20      1142           1056            119             112
Alabama                        10/31/20      1169           1093            131             119
Alabama                        11/07/20      1277           1183            151             141
Alabama                        11/14/20      1269           1186            176             165
Alabama                        11/21/20      1275           1176            168             155
Alabama                        11/28/20      1326           1237            202             186
Alabama                        12/05/20      1355           1259            251             239
Alabama                        12/12/20      1598           1509            378             362
Alabama                        12/19/20      1584           1485            390             363
Alabama                        12/26/20      1626           1554            452             422
Alabama                        01/02/21      1803           1702            509             480
Alabama                        01/09/21      1807           1705            546             527
Alabama                        01/16/21      1830           1739            595             569
Alabama                        01/23/21      1787           1688            579             546
Alabama                        01/30/21      1637           1559            490             460
Alabama                        02/06/21      1507           1409            344             331
Alabama                        02/13/21      1430           1334            263             247
Alabama                        02/20/21      1331           1251            214             192
Alabama                        02/27/21      1312           1218            170             152
Alabama                        03/06/21      1158           1050            110              93
Alabama                        03/13/21      1189           1092            104              93
Alabama                        03/20/21      1057            976             81              72
Alabama                        03/27/21      1189           1073             78              68
Alabama                        04/03/21      1104           1004             66              56
Alabama                        04/10/21      1205           1100             53              49
Alabama                        04/17/21      1165           1073             43              38
Alabama                        04/24/21      1103           1012             45              38
Alabama                        05/01/21      1191           1106             46              41
Alabama                        05/08/21      1150           1051             63              60
Alabama                        05/15/21      1093            992             50              46
Alabama                        05/22/21      1093           1007             49              39
Alabama                        05/29/21      1072            993             33              24
Alabama                        06/05/21      1079            982             36              31
Alabama                        06/12/21      1103           1003             34              31
Alabama                        06/19/21      1122           1018             24              17
Alabama                        06/26/21      1073            991             36              28
Alabama                        07/03/21      1056            949             21              20
Alabama                        07/10/21      1130           1024             37              34
Alabama                        07/17/21      1047            969             42              40
Alabama                        07/24/21      1099            992             63              57
Alabama                        07/31/21      1159           1077            107             101
Alabama                        08/07/21      1313           1220            226             212
Alabama                        08/14/21      1425           1345            342             325
Alabama                        08/21/21      1563           1479            418             399
Alabama                        08/28/21      1586           1524            469             452
Alabama                        09/04/21      1575           1485            492             471
Alabama                        09/11/21      1710           1625            538             521
Alabama                        09/18/21      1553           1466            466             448
Alabama                        09/25/21      1410           1318            404             388
Alabama                        10/02/21      1450           1346            356             342
Alabama                        10/09/21      1297           1213            245             233
Alabama                        10/16/21      1171           1045            202             190
Alabama                        10/23/21      1034            855            140             128
Alabama                        10/30/21       831            542             84              78
Alabama                        11/06/21       601            174             46              41
Alaska                         01/04/20        89             71              0               0
Alaska                         01/11/20       105             93              0               0
Alaska                         01/18/20        99             83              0               0
Alaska                         01/25/20        97             82              0               0
Alaska                         02/01/20        85             74              0               0
Alaska                         02/08/20        92             75              0               0
Alaska                         02/15/20        89             74              0               0
Alaska                         02/22/20        83             64              0               0
Alaska                         02/29/20        84             76              0               0
Alaska                         03/07/20        79             68              0               0
Alaska                         03/14/20        92             80              0               0
Alaska                         03/21/20        69             55              0               0
Alaska                         03/28/20        86             75              0               0
Alaska                         04/04/20        98             84              0               0
