Mortality for Texas by Date Range    For the selected date range 01/04/2020 - 11/06/2021
Report Generated: 12/14/2021     16:53:49
                               WEEK          TOTAL         NATURAL      C19 MULTIPLE    C19 UNDERLYING
STATE                          ENDING        DEATHS        CAUSES          CAUSES           CAUSE
-----------------------------------------------------------------------------------------------------------
Texas                          01/04/20      4564           4202              0               0
Texas                          01/11/20      4564           4202              0               0
Texas                          01/18/20      4250           3908              0               0
Texas                          01/25/20      4128           3798              0               0
Texas                          02/01/20      4174           3823              0               0
Texas                          02/08/20      4322           3968              0               0
Texas                          02/15/20      4343           4004              0               0
Texas                          02/22/20      4221           3849              0               0
Texas                          02/29/20      4146           3802              0               0
Texas                          03/07/20      4173           3866              0               0
Texas                          03/14/20      4169           3786              0               0
Texas                          03/21/20      4256           3932             10               0
Texas                          03/28/20      4259           3902             44              44
Texas                          04/04/20      4186           3877            132             126
Texas                          04/11/20      4266           3930            205             191
Texas                          04/18/20      4294           3939            238             230
Texas                          04/25/20      4464           4099            245             228
Texas                          05/02/20      4263           3880            238             224
Texas                          05/09/20      4278           3913            228             215
Texas                          05/16/20      4280           3888            253             236
Texas                          05/23/20      4255           3862            171             160
Texas                          05/30/20      4156           3782            217             206
Texas                          06/06/20      4229           3806            183             173
Texas                          06/13/20      4396           3970            226             208
Texas                          06/20/20      4509           4062            307             289
Texas                          06/27/20      4566           4163            443             405
Texas                          07/04/20      5036           4613            816             777
Texas                          07/11/20      5772           5330           1276            1208
Texas                          07/18/20      6264           5830           1759            1663
Texas                          07/25/20      6310           5897           1895            1790
Texas                          08/01/20      5953           5553           1731            1658
Texas                          08/08/20      5712           5296           1497            1424
Texas                          08/15/20      5782           5328           1377            1303
Texas                          08/22/20      5033           4613           1004             940
Texas                          08/29/20      5137           4702            853             782
Texas                          09/05/20      4942           4532            705             641
Texas                          09/12/20      4654           4290            578             534
Texas                          09/19/20      4601           4228            522             468
Texas                          09/26/20      4544           4178            513             475
Texas                          10/03/20      4589           4171            437             385
Texas                          10/10/20      4720           4317            500             460
Texas                          10/17/20      4535           4185            564             505
Texas                          10/24/20      4812           4406            695             634
Texas                          10/31/20      5165           4767            897             827
Texas                          11/07/20      5402           5014           1016             952
Texas                          11/14/20      5444           5039           1153            1076
Texas                          11/21/20      5431           5048           1266            1180
Texas                          11/28/20      5595           5189           1394            1298
Texas                          12/05/20      5636           5221           1472            1364
Texas                          12/12/20      6057           5645           1630            1538
Texas                          12/19/20      6185           5769           1664            1573
Texas                          12/26/20      6134           5736           1760            1658
Texas                          01/02/21      6545           6105           2012            1888
Texas                          01/09/21      6972           6573           2545            2392
Texas                          01/16/21      7208           6794           2561            2412
Texas                          01/23/21      6997           6599           2447            2292
Texas                          01/30/21      6640           6270           2289            2138
Texas                          02/06/21      6244           5850           1931            1790
Texas                          02/13/21      5894           5484           1560            1437
Texas                          02/20/21      6412           5891           1396            1273
Texas                          02/27/21      5658           5215           1102            1004
Texas                          03/06/21      5190           4763            859             770
Texas                          03/13/21      4926           4536            703             631
Texas                          03/20/21      4610           4130            575             520
Texas                          03/27/21      4562           4150            445             395
Texas                          04/03/21      4425           4016            357             306
Texas                          04/10/21      4570           4121            361             298
Texas                          04/17/21      4297           3852            346             298
Texas                          04/24/21      4561           4116            332             297
Texas                          05/01/21      4442           4031            298             265
Texas                          05/08/21      4353           3946            299             261
Texas                          05/15/21      4382           3963            282             243
Texas                          05/22/21      4282           3877            257             227
Texas                          05/29/21      4277           3878            264             231
Texas                          06/05/21      4234           3805            197             173
Texas                          06/12/21      4303           3861            174             148
Texas                          06/19/21      4355           3873            169             140
Texas                          06/26/21      4324           3876            165             137
Texas                          07/03/21      4349           3932            181             154
Texas                          07/10/21      4252           3841            175             151
Texas                          07/17/21      4429           3995            229             211
Texas                          07/24/21      4426           4033            343             310
Texas                          07/31/21      4774           4366            509             461
Texas                          08/07/21      5093           4689            838             777
Texas                          08/14/21      5652           5295           1371            1304
Texas                          08/21/21      6282           5875           1836            1736
Texas                          08/28/21      6524           6153           2209            2101
Texas                          09/04/21      6603           6231           2261            2179
Texas                          09/11/21      6457           6062           2154            2068
Texas                          09/18/21      6142           5790           2028            1946
Texas                          09/25/21      6038           5671           1863            1770
Texas                          10/02/21      5681           5296           1562            1493
Texas                          10/09/21      5212           4803           1227            1182
Texas                          10/16/21      4846           4284           1001             928
Texas                          10/23/21      4216           3262            736             682
Texas                          10/30/21      3290           2222            446             416
Texas                          11/06/21      2310            771            232             212
